country,region,year,pct_renouvelable,pct_nucleaire,carbon_intensity_elec,rang_renouvelable,rang_carbone
Bulgaria,Est,2020,18.6,41.4,383.91,19,19
Greece,Sud,2020,36.9,0.0,423.07,15,20
Czechia,Est,2020,12.9,37.5,460.18,22,21
Poland,Est,2020,18.0,0.0,738.28,20,22
Norway,Nord,2017,98.1,0.0,32.98,1,1
Switzerland,Ouest,2017,62.8,33.9,39.73,4,2
Sweden,Nord,2017,57.9,40.0,42.5,6,3
France,Ouest,2017,16.5,71.7,78.31,17,4
Belgium,Ouest,2017,18.5,49.5,159.48,16,5
Austria,Ouest,2017,76.1,0.0,162.92,2,6
Finland,Nord,2017,46.6,33.3,186.17,7,7
Croatia,Est,2017,60.5,0.0,255.74,5,8
Denmark,Nord,2017,70.6,0.0,282.85,3,9
Hungary,Est,2017,10.6,48.9,290.71,22,10
United Kingdom,Autre,2017,29.2,20.8,302.2,14,11
Spain,Ouest,2017,32.3,21.3,329.17,12,12
Romania,Est,2017,38.2,18.1,369.22,9,13
Italy,Ouest,2017,35.6,0.0,392.82,10,14
Ireland,Nord,2017,29.3,0.0,404.03,13,15
Portugal,Sud,2017,39.2,0.0,433.76,8,16
Germany,Autre,2017,33.5,11.8,469.71,11,17
Netherlands,Ouest,2017,15.0,2.9,489.66,18,18
Bulgaria,Est,2017,13.7,34.7,502.9,20,19
Czechia,Est,2017,11.2,33.0,542.33,21,20
Greece,Sud,2017,25.2,0.0,579.75,15,21
Poland,Est,2017,14.2,0.0,805.54,19,22
Norway,Nord,2022,98.6,0.0,29.64,1,1
Switzerland,Ouest,2022,58.3,39.1,37.27,7,2
Sweden,Nord,2022,68.3,30.0,41.03,4,3
France,Ouest,2022,24.2,62.9,78.54,18,4
Finland,Nord,2022,53.6,35.1,129.97,8,5
Belgium,Ouest,2022,25.9,46.5,139.4,17,6
Austria,Ouest,2022,78.2,0.0,140.84,3,7
Denmark,Nord,2022,80.9,0.0,203.64,2,8
Spain,Ouest,2022,42.8,20.4,217.13,12,9
Portugal,Sud,2022,59.6,0.0,225.34,6,10
Hungary,Est,2022,21.4,44.2,228.9,19,11
Croatia,Est,2022,63.5,0.0,244.68,5,12
United Kingdom,Autre,2022,41.6,14.6,254.98,13,13
Romania,Est,2022,43.1,20.3,297.77,11,14
Netherlands,Ouest,2022,40.1,3.5,325.61,14,15
Ireland,Nord,2022,39.2,0.0,330.87,15,16
Greece,Sud,2022,43.4,0.0,376.81,10,17
Italy,Ouest,2022,35.9,0.0,377.84,16,18
Germany,Autre,2022,44.4,6.1,419.74,9,19
Bulgaria,Est,2022,19.2,32.7,476.33,21,20
Czechia,Est,2022,12.9,37.0,488.36,22,21
Poland,Est,2022,21.1,0.0,732.48,20,22
Norway,Nord,2000,99.7,0.0,25.75,1,1
Switzerland,Ouest,2000,57.0,40.0,33.58,5,2
Sweden,Nord,2000,57.2,39.5,44.89,4,3
France,Ouest,2000,12.7,78.0,79.77,12,4
Austria,Ouest,2000,72.8,0.0,203.39,2,5
Finland,Nord,2000,33.4,32.1,246.82,6,6
Belgium,Ouest,2000,1.3,58.2,269.6,21,7
Croatia,Est,2000,57.5,0.0,302.41,3,8
Hungary,Est,2000,0.7,40.3,450.98,22,9
Bulgaria,Est,2000,6.5,44.8,458.24,14,10
Spain,Ouest,2000,15.6,28.2,470.89,10,11
Italy,Ouest,2000,18.8,0.0,501.67,9,12
Romania,Est,2000,28.7,10.6,513.77,8,13
United Kingdom,Autre,2000,2.6,22.6,521.99,19,14
Netherlands,Ouest,2000,3.4,4.5,540.31,17,15
Portugal,Sud,2000,29.8,0.0,546.17,7,16
Germany,Autre,2000,6.2,29.8,573.16,15,17
Denmark,Nord,2000,15.5,0.0,627.89,11,18
Ireland,Nord,2000,5.0,0.0,632.67,16,19
Czechia,Est,2000,3.1,18.6,767.08,18,20
Greece,Sud,2000,7.8,0.0,822.82,13,21
Poland,Est,2000,1.6,0.0,954.6,20,22
Switzerland,Ouest,2010,56.7,39.9,35.88,4,1
Norway,Nord,2010,95.8,0.0,42.88,1,2
Sweden,Nord,2010,55.3,39.0,63.73,5,3
France,Ouest,2010,13.6,76.2,78.56,14,4
Belgium,Ouest,2010,7.1,51.5,212.81,19,5
Austria,Ouest,2010,66.3,0.0,226.78,2,6
Croatia,Est,2010,62.9,0.0,268.43,3,7
Spain,Ouest,2010,32.8,20.8,288.25,8,8
Finland,Nord,2010,30.0,28.3,314.86,10,9
Portugal,Sud,2010,53.0,0.0,317.13,6,10
